NTD ID,Legacy NTD ID,Agency,Status,Reporter Type,UACE CD,UZA Name,Mode,TOS,3 Mode,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
40018,4018,Transit Authority of River City,Active,Full Reporter: Operating,51755,"Louisville/Jefferson County, KY--IN",MB,DO,Bus,"14,597,083 ","14,564,265 ","14,526,037 ","14,486,357 ","15,653,641 ","15,476,529 ","15,681,893 ","13,972,348 ","13,579,179 ","14,222,398 ","16,461,977 ","14,818,627 ","14,485,896 ","13,790,626 ","12,835,418 ","12,056,124 ","11,487,453 ","10,099,940 ","5,300,260 ","4,655,176 ","5,416,423 ","4,051,209 "
40018,4018,Transit Authority of River City,Active,Full Reporter: Operating,51755,"Louisville/Jefferson County, KY--IN",MB,PT,Bus,"65,204 ","65,140 ","71,348 ","80,929 ","93,623 ","102,349 ","94,428 ","83,189 ","31,179 ","9,710 ","7,687 ","7,359 ","10,747 ","12,945 ","10,145 ","23,223 ","65,695 ","74,342 ","26,365 ","1,249 ","2,736 ","3,446 "
40019,4019,Transit Authority of Northern Kentucky,Active,Full Reporter: Operating,16885,"Cincinnati, OH--KY",DR,DO,Bus,"84,626 ","88,088 ","88,282 ","92,415 ","99,565 ","97,601 ","107,114 ","103,882 ","102,789 ","101,790 ","93,699 ","89,263 ","88,589 ","91,241 ","94,802 ","93,561 ","92,570 ","92,240 ","52,875 ","66,168 ","72,070 ","37,716 "
40019,4019,Transit Authority of Northern Kentucky,Active,Full Reporter: Operating,16885,"Cincinnati, OH--KY",MB,DO,Bus,"3,711,283 ","3,684,146 ","3,403,732 ","3,504,745 ","3,648,412 ","3,626,626 ","3,796,331 ","3,213,271 ","3,180,337 ","3,485,940 ","3,554,081 ","3,497,347 ","3,572,036 ","3,505,434 ","3,293,877 ","3,120,934 ","2,930,761 ","2,898,582 ","1,578,169 ","1,360,742 ","1,597,080 ","951,084 "
40021,4021,City of Albany ,Active,Full Reporter: Operating,00901,"Albany, GA",DR,DO,Bus,"32,082 ","29,598 ","29,006 ","25,628 ","23,487 ","21,348 ","19,959 ","16,018 ","12,154 ","10,360 ","10,393 ","13,066 ","14,805 ","14,593 ","13,816 ","13,111 ","15,808 ","19,589 ","15,897 ","15,474 ","11,568 ","6,359 "
40021,4021,City of Albany ,Active,Full Reporter: Operating,00901,"Albany, GA",MB,DO,Bus,"628,324 ","670,941 ","666,328 ","653,876 ","762,810 ","767,414 ","880,864 ","871,177 ","900,406 ","985,863 ","1,017,648 ","1,017,015 ","883,094 ","695,011 ","655,363 ","723,013 ","739,896 ","750,571 ","491,723 ","324,077 ","261,443 ","176,814 "
40022,4022,Metropolitan Atlanta Rapid Transit Authority,Active,Full Reporter: Operating,03817,"Atlanta, GA",DR,DO,Bus,"234,049 ","286,114 ","314,665 ","357,024 ","370,524 ","382,100 ","448,633 ","496,614 ","523,542 ","564,343 ","576,763 ","585,448 ","596,148 ","649,089 ","257,242 ",0 ,0 ,0 ,0 ,0 ,0 ,0 
40022,4022,Metropolitan Atlanta Rapid Transit Authority,Active,Full Reporter: Operating,03817,"Atlanta, GA",DR,PT,Bus,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,"416,091 ","696,218 ","757,660 ","824,575 ","477,295 ","472,561 ","606,112 ","485,036 "
40022,4022,Metropolitan Atlanta Rapid Transit Authority,Active,Full Reporter: Operating,03817,"Atlanta, GA",HR,DO,Rail,"77,881,799 ","68,613,169 ","70,165,559 ","69,662,769 ","74,017,325 ","81,503,410 ","86,029,961 ","79,133,102 ","76,930,756 ","74,236,211 ","70,506,376 ","69,905,386 ","71,504,650 ","72,030,571 ","68,678,695 ","67,410,371 ","64,854,001 ","61,778,142 ","24,056,265 ","22,988,471 ","28,200,719 ","20,461,486 "
40022,4022,Metropolitan Atlanta Rapid Transit Authority,Active,Full Reporter: Operating,03817,"Atlanta, GA",MB,DO,Bus,"72,282,348 ","68,804,523 ","67,411,113 ","70,146,317 ","69,546,567 ","64,977,316 ","72,075,116 ","70,629,306 ","65,904,307 ","61,989,225 ","60,042,892 ","60,292,228 ","61,963,208 ","62,021,701 ","58,414,789 ","56,316,552 ","51,894,118 ","51,887,504 ","32,591,900 ","25,144,752 ","27,701,095 ","21,174,459 "
