"Table 1. Per Capita Personal Income, by County, 2019–2021",,,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,,
,Dollars,,,Rank in state,Percent change,,Rank in state,
Worcester,"57,078","60,440","63,811",14,5.9,5.6,21,MD
Baltimore City,"50,073","54,153","58,556",15,8.1,8.1,4,MD
,,,,,,,,
Massachusetts,"73,213","78,388","83,653",--,7.1,6.7,--,MA
Barnstable,"74,107","79,136","83,191",6,6.8,5.1,12,MA
Berkshire,"56,861","61,586","65,050",10,8.3,5.6,11,MA
Bristol,"55,047","61,116","64,924",11,11.0,6.2,8,MA
Dukes,"79,853","81,631","86,341",5,2.2,5.8,10,MA
Essex,"68,305","73,101","78,093",8,7.0,6.8,5,MA
Franklin,"56,241","60,297","63,366",12,7.2,5.1,13,MA
Hampden,"53,167","58,071","61,522",13,9.2,5.9,9,MA
Hampshire,"54,754","58,133","60,717",14,6.2,4.4,14,MA
Middlesex,"87,174","92,013","98,523",4,5.6,7.1,3,MA
Nantucket,"96,986","93,793","101,902",2,-3.3,8.6,1,MA
Norfolk,"93,360","97,787","104,059",1,4.7,6.4,6,MA
Plymouth,"69,610","75,025","79,817",7,7.8,6.4,7,MA
Suffolk,"83,428","90,941","98,644",3,9.0,8.5,2,MA
Worcester,"56,730","61,577","65,793",9,8.5,6.8,4,MA
,,,,,,,,
Michigan,"49,142","53,388","56,494",--,8.6,5.8,--,MI
Alcona,"41,782","46,504","49,262",35,11.3,5.9,39,MI
Alger,"35,126","39,479","42,171",77,12.4,6.8,10,MI
Allegan,"46,130","50,402","53,375",22,9.3,5.9,40,MI
Alpena,"40,817","45,497","48,428",41,11.5,6.4,23,MI
Antrim,"49,163","53,579","55,759",16,9.0,4.1,80,MI
Arenac,"39,779","44,841","47,470",48,12.7,5.9,41,MI
Baraga,"34,669","39,616","41,772",78,14.3,5.4,51,MI
Barry,"46,199","49,975","52,951",24,8.2,6.0,37,MI
Bay,"43,230","47,430","50,396",29,9.7,6.3,30,MI
Benzie,"47,113","52,273","54,684",19,11.0,4.6,74,MI
Berrien,"49,735","54,303","59,656",10,9.2,9.9,1,MI
Branch,"37,279","41,384","45,325",59,11.0,9.5,3,MI
Calhoun,"40,497","44,796","47,789",44,10.6,6.7,12,MI
Cass,"45,827","51,045","56,042",14,11.4,9.8,2,MI
Charlevoix,"53,854","59,153","62,505",6,9.8,5.7,47,MI
Cheboygan,"40,691","45,719","48,078",42,12.4,5.2,57,MI
Chippewa,"35,733","40,410","42,943",74,13.1,6.3,29,MI
Clare,"34,775","38,991","40,710",80,12.1,4.4,77,MI
Clinton,"48,051","51,861","54,719",18,7.9,5.5,49,MI
Crawford,"37,722","42,782","44,116",66,13.4,3.1,81,MI
Delta,"40,047","44,204","46,524",54,10.4,5.2,55,MI
Dickinson,"46,741","50,975","55,335",17,9.1,8.6,4,MI
Eaton,"43,887","47,981","50,743",27,9.3,5.8,45,MI
Emmet,"58,421","63,571","66,826",4,8.8,5.1,59,MI
Genesee,"42,141","46,371","49,399",32,10.0,6.5,18,MI
Gladwin,"38,377","41,637","44,068",67,8.5,5.8,43,MI
Gogebic,"42,173","46,469","48,705",40,10.2,4.8,68,MI
Grand Traverse,"52,710","57,453","60,388",9,9.0,5.1,61,MI
Gratiot,"36,244","40,793","43,249",73,12.6,6.0,34,MI
Hillsdale,"35,908","39,486","42,365",76,10.0,7.3,8,MI
Houghton,"37,044","40,803","43,809",68,10.1,7.4,7,MI
Huron,"45,222","52,150","55,774",15,15.3,6.9,9,MI
Ingham,"42,183","46,669","49,608",31,10.6,6.3,27,MI
Ionia,"34,416","38,396","40,849",79,11.6,6.4,25,MI
Iosco,"39,258","44,079","46,918",52,12.3,6.4,24,MI
Iron,"44,218","47,339","49,653",30,7.1,4.9,67,MI
Isabella,"39,018","43,582","45,657",58,11.7,4.8,72,MI
Jackson,"39,775","44,152","47,503",47,11.0,7.6,5,MI
Kalamazoo,"50,835","54,954","58,524",12,8.1,6.5,21,MI
Kalkaska,"36,560","41,541","43,609",69,13.6,5.0,65,MI
Kent,"54,507","58,706","61,852",8,7.7,5.4,52,MI
Keweenaw,"50,936","56,579","59,593",11,11.1,5.3,53,MI
Lake,"33,362","37,938","38,989",83,13.7,2.8,82,MI
Lapeer,"44,648","49,285","52,034",26,10.4,5.6,48,MI
Leelanau,"70,525","75,114","78,457",2,6.5,4.5,76,MI
Lenawee,"40,377","44,112","46,929",51,9.3,6.4,26,MI
Livingston,"59,309","62,640","65,883",5,5.6,5.2,56,MI
Luce,"35,772","41,624","43,526",71,16.4,4.6,75,MI
Mackinac,"44,726","50,473","53,230",23,12.8,5.5,50,MI
Macomb,"47,350","51,798","54,258",20,9.4,4.7,73,MI
Manistee,"40,528","44,375","46,489",55,9.5,4.8,71,MI
Marquette,"40,494","44,933","47,870",43,11.0,6.5,16,MI
Mason,"41,900","46,365","48,733",39,10.7,5.1,62,MI
Mecosta,"37,154","41,440","44,177",65,11.5,6.6,13,MI
Menominee,"41,962","45,802","48,873",37,9.2,6.7,11,MI
Midland,"54,951","58,544","62,055",7,6.5,6.0,36,MI
Missaukee,"36,752","41,488","43,609",69,12.9,5.1,60,MI
Monroe,"47,726","50,472","53,509",21,5.8,6.0,35,MI
Montcalm,"34,438","38,314","40,592",81,11.3,5.9,38,MI
Montmorency,"38,520","43,272","43,331",72,12.3,0.1,83,MI
Muskegon,"39,646","44,159","46,701",53,11.4,5.8,44,MI
Newaygo,"38,065","42,134","44,597",63,10.7,5.8,42,MI
Oakland,"72,614","77,030","80,962",1,6.1,5.1,63,MI
Oceana,"39,469","43,760","46,015",57,10.9,5.2,58,MI
Ogemaw,"34,956","39,841","42,781",75,14.0,7.4,6,MI
Ontonagon,"40,398","45,324","47,563",45,12.2,4.9,66,MI
Osceola,"39,164","43,341","45,167",60,10.7,4.2,78,MI
Oscoda,"34,885","37,619","39,929",82,7.8,6.1,32,MI
Otsego,"41,441","46,664","49,320",33,12.6,5.7,46,MI
Ottawa,"49,800","53,507","56,076",13,7.4,4.8,69,MI
Presque Isle,"40,274","44,888","47,138",50,11.5,5.0,64,MI
Roscommon,"38,065","42,721","44,518",64,12.2,4.2,79,MI
Saginaw,"42,114","46,419","49,274",34,10.2,6.2,31,MI
St. Clair,"45,733","50,390","52,805",25,10.2,4.8,70,MI
St. Joseph,"38,688","43,372","46,199",56,12.1,6.5,20,MI
Sanilac,"38,325","44,249","47,144",49,15.5,6.5,15,MI
Schoolcraft,"41,573","46,639","49,103",36,12.2,5.3,54,MI
Shiawassee,"40,570","44,809","47,525",46,10.4,6.1,33,MI
Tuscola,"37,522","42,155","44,908",61,12.3,6.5,17,MI
Van Buren,"41,782","45,781","48,770",38,9.6,6.5,19,MI
Washtenaw,"61,447","64,636","68,688",3,5.2,6.3,28,MI
Wayne,"43,271","47,533","50,610",28,9.8,6.5,22,MI
Wexford,"37,886","41,937","44,697",62,10.7,6.6,14,MI
,,,,,,,,
Minnesota,"58,543","62,240","66,280",--,6.3,6.5,--,MN
Aitkin,"42,044","46,856","49,255",83,11.4,5.1,76,MN
Anoka,"52,820","56,014","59,397",29,6.0,6.0,64,MN
Becker,"48,118","51,710","56,147",55,7.5,8.6,24,MN
Beltrami,"43,165","47,241","50,833",78,9.4,7.6,29,MN
Benton,"45,691","49,675","53,214",69,8.7,7.1,37,MN
Big Stone,"49,836","58,966","64,816",15,18.3,9.9,11,MN
Blue Earth,"45,468","49,109","51,834",74,8.0,5.5,72,MN
Brown,"52,840","57,177","60,615",25,8.2,6.0,66,MN
Carlton,"43,646","46,796","49,797",82,7.2,6.4,52,MN
Carver,"73,785","76,137","80,562",2,3.2,5.8,70,MN
Cass,"47,869","51,803","56,491",52,8.2,9.0,19,MN
Chippewa,"48,039","52,027","57,395",44,8.3,10.3,9,MN
Chisago,"51,197","54,113","57,574",43,5.7,6.4,54,MN
Clay,"43,312","47,440","51,260",77,9.5,8.1,27,MN
Clearwater,"46,005","51,893","54,687",62,12.8,5.4,73,MN
Cook,"53,157","56,400","59,112",31,6.1,4.8,79,MN
Cottonwood,"44,993","54,800","58,229",40,21.8,6.3,56,MN
Crow Wing,"46,170","49,561","54,260",65,7.3,9.5,14,MN
Dakota,"61,297","64,089","67,927",7,4.6,6.0,67,MN
Dodge,"47,126","52,462","56,410",53,11.3,7.5,31,MN
Douglas,"51,776","55,854","59,909",28,7.9,7.3,36,MN
Faribault,"42,468","49,095","54,496",63,15.6,11.0,7,MN
Fillmore,"43,899","49,006","51,972",72,11.6,6.1,63,MN
Freeborn,"44,984","49,480","53,790",67,10.0,8.7,23,MN
Goodhue,"54,665","57,401","60,933",24,5.0,6.2,59,MN
Grant,"45,510","53,681","57,261",45,18.0,6.7,48,MN
Hennepin,"76,905","80,429","85,505",1,4.6,6.3,55,MN
Houston,"51,628","55,330","59,140",30,7.2,6.9,43,MN
Hubbard,"50,828","53,768","57,111",46,5.8,6.2,57,MN
Isanti,"46,713","49,721","53,189",70,6.4,7.0,41,MN
Itasca,"45,393","48,240","51,563",75,6.3,6.9,42,MN
Jackson,"52,652","60,415","63,311",18,14.7,4.8,80,MN
Kanabec,"44,473","49,721","51,935",73,11.8,4.5,84,MN
Kandiyohi,"52,094","55,811","58,345",37,7.1,4.5,82,MN
Kittson,"46,733","63,269","67,536",8,35.4,6.7,46,MN
Koochiching,"46,188","49,257","52,256",71,6.6,6.1,61,MN
Lac qui Parle,"49,909","58,221","65,109",13,16.7,11.8,5,MN
Lake,"47,886","50,311","53,868",66,5.1,7.1,39,MN
Lake of the Woods,"54,841","56,693","61,309",21,3.4,8.1,26,MN
Le Sueur,"50,203","54,455","58,146",41,8.5,6.8,45,MN
Lincoln,"46,805","51,669","57,110",47,10.4,10.5,8,MN
Lyon,"49,751","55,067","58,433",34,10.7,6.1,60,MN
McLeod,"48,098","52,942","56,689",50,10.1,7.1,38,MN
Mahnomen,"34,548","41,569","47,898",84,20.3,15.2,1,MN
Marshall,"50,621","63,411","68,963",6,25.3,8.8,22,MN
Martin,"51,498","55,701","61,216",22,8.2,9.9,12,MN
Meeker,"45,003","49,515","53,728",68,10.0,8.5,25,MN
Mille Lacs,"43,509","47,312","50,104",81,8.7,5.9,69,MN
Morrison,"41,933","47,136","50,229",80,12.4,6.6,50,MN
Mower,"46,076","50,565","55,320",59,9.7,9.4,15,MN
Murray,"52,874","62,101","63,623",17,17.5,2.5,86,MN
Nicollet,"50,427","53,688","56,992",48,6.5,6.2,58,MN
Nobles,"43,841","52,093","54,479",64,18.8,4.6,81,MN
Norman,"37,092","49,702","56,502",51,34.0,13.7,3,MN
Olmsted,"58,724","62,179","65,959",9,5.9,6.1,62,MN
Otter Tail,"47,353","51,840","55,698",57,9.5,7.4,34,MN
Pennington,"54,201","59,713","65,416",11,10.2,9.6,13,MN
Pine,"39,550","43,572","45,538",87,10.2,4.5,83,MN
Pipestone,"53,252","58,005","61,106",23,8.9,5.3,74,MN
Polk,"46,566","53,803","58,682",33,15.5,9.1,18,MN
Pope,"50,080","55,881","60,173",27,11.6,7.7,28,MN
Ramsey,"54,587","58,217","62,594",19,6.6,7.5,32,MN
Red Lake,"49,604","57,090","65,147",12,15.1,14.1,2,MN
Redwood,"52,951","60,667","63,700",16,14.6,5.0,77,MN
Renville,"47,453","56,369","61,406",20,18.8,8.9,20,MN
Rice,"45,230","48,412","51,545",76,7.0,6.5,51,MN
Rock,"48,827","56,690","57,744",42,16.1,1.9,87,MN
Roseau,"47,177","54,279","60,337",26,15.1,11.2,6,MN
St. Louis,"48,188","51,537","55,303",60,6.9,7.3,35,MN
Scott,"62,909","65,602","69,243",5,4.3,5.6,71,MN
Sherburne,"49,291","52,201","55,341",58,5.9,6.0,65,MN
Sibley,"47,861","53,512","58,242",39,11.8,8.8,21,MN
Stearns,"48,925","53,151","56,711",49,8.6,6.7,47,MN
Steele,"46,534","50,483","55,176",61,8.5,9.3,16,MN
Stevens,"47,917","56,612","58,335",38,18.1,3.0,85,MN
Swift,"46,446","53,559","58,433",34,15.3,9.1,17,MN
Todd,"42,688","43,743","47,069",85,2.5,7.6,30,MN
Traverse,"49,390","68,763","73,574",4,39.2,7.0,40,MN
Wabasha,"50,078","55,622","58,382",36,11.1,5.0,78,MN
Wadena,"39,290","43,488","46,380",86,10.7,6.7,49,MN
Waseca,"41,646","47,174","50,409",79,13.3,6.9,44,MN
Washington,"69,775","72,430","76,733",3,3.8,5.9,68,MN
Watonwan,"44,416","50,842","55,899",56,14.5,9.9,10,MN
Wilkin,"48,502","58,334","65,570",10,20.3,12.4,4,MN
Winona,"49,315","53,431","56,240",54,8.3,5.3,75,MN
Wright,"52,363","55,217","58,756",32,5.5,6.4,53,MN
Yellow Medicine,"54,679","60,552","65,068",14,10.7,7.5,33,MN
,,,,,,,,
Mississippi,"39,445","42,716","45,881",--,8.3,7.4,--,MS
Adams,"36,413","39,621","42,911",42,8.8,8.3,37,MS
Alcorn,"38,576","41,396","44,255",31,7.3,6.9,55,MS
Amite,"33,523","35,618","39,407",66,6.2,10.6,18,MS
Attala,"35,013","39,450","42,044",46,12.7,6.6,60,MS
Benton,"34,858","37,877","41,767",50,8.7,10.3,20,MS
Bolivar,"37,303","41,211","46,512",12,10.5,12.9,10,MS
Calhoun,"35,831","40,299","43,222",39,12.5,7.3,50,MS
Carroll,"37,776","41,232","44,908",20,9.1,8.9,26,MS
Chickasaw,"36,094","39,510","41,179",58,9.5,4.2,81,MS
Choctaw,"34,454","37,992","40,804",60,10.3,7.4,47,MS
Claiborne,"31,375","34,891","37,833",73,11.2,8.4,36,MS
Clarke,"38,328","41,601","43,918",34,8.5,5.6,70,MS
Clay,"39,833","43,638","46,228",14,9.6,5.9,69,MS
Coahoma,"37,003","41,488","44,714",23,12.1,7.8,42,MS
Copiah,"33,613","36,223","39,166",68,7.8,8.1,40,MS
Covington,"38,557","39,134","45,169",18,1.5,15.4,2,MS
DeSoto,"44,019","47,078","50,982",4,6.9,8.3,38,MS
Forrest,"36,994","40,216","42,853",43,8.7,6.6,62,MS
Franklin,"35,908","38,685","40,443",61,7.7,4.5,80,MS
George,"34,072","38,208","39,807",64,12.1,4.2,82,MS
Greene,"28,265","30,485","33,133",82,7.9,8.7,29,MS
Grenada,"35,452","38,553","41,935",47,8.7,8.8,27,MS
Hancock,"38,155","41,867","44,776",21,9.7,6.9,54,MS
Harrison,"38,492","42,037","44,551",25,9.2,6.0,67,MS
Hinds,"40,535","44,415","47,413",9,9.6,6.7,58,MS
Holmes,"29,433","33,280","36,339",79,13.1,9.2,24,MS
Humphreys,"34,551","39,903","43,981",33,15.5,10.2,21,MS
Issaquena,"24,805","32,026","34,832",81,29.1,8.8,28,MS
Itawamba,"35,790","39,016","41,579",53,9.0,6.6,61,MS
Jackson,"38,894","42,163","44,945",19,8.4,6.6,59,MS
Jasper,"41,047","41,334","46,041",16,0.7,11.4,15,MS
Jefferson,"33,929","37,139","40,349",62,9.5,8.6,33,MS
Jefferson Davis,"29,943","32,452","36,241",80,8.4,11.7,14,MS
Jones,"39,102","41,022","44,494",27,4.9,8.5,35,MS
Kemper,"32,026","36,166","38,314",71,12.9,5.9,68,MS
Lafayette,"43,373","45,615","47,824",8,5.2,4.8,77,MS
Lamar,"41,585","44,325","47,129",11,6.6,6.3,64,MS
Lauderdale,"40,424","44,001","46,219",15,8.8,5.0,76,MS
Lawrence,"36,191","37,809","42,275",44,4.5,11.8,13,MS
Leake,"34,110","34,488","39,087",69,1.1,13.3,8,MS
Lee,"44,363","48,080","51,703",2,8.4,7.5,44,MS
Leflore,"38,631","43,521","48,265",6,12.7,10.9,17,MS
Lincoln,"39,236","41,755","44,688",24,6.4,7.0,53,MS
Lowndes,"40,592","44,039","47,137",10,8.5,7.0,52,MS
Madison,"65,464","69,925","73,485",1,6.8,5.1,74,MS
Marion,"38,807","40,203","43,035",41,3.6,7.0,51,MS
Marshall,"36,435","39,947","43,724",36,9.6,9.5,23,MS
Monroe,"37,602","40,976","44,332",29,9.0,8.2,39,MS
Montgomery,"35,009","38,639","41,252",57,10.4,6.8,57,MS
Neshoba,"37,989","39,519","43,915",35,4.0,11.1,16,MS
Newton,"35,654","36,925","41,367",56,3.6,12.0,11,MS
Noxubee,"35,266","38,306","44,360",28,8.6,15.8,1,MS
Oktibbeha,"34,454","36,768","38,463",70,6.7,4.6,79,MS
Panola,"34,489","38,751","42,074",45,12.4,8.6,34,MS
Pearl River,"38,224","40,667","43,214",40,6.4,6.3,65,MS
Perry,"34,208","37,403","40,243",63,9.3,7.6,43,MS
Pike,"31,391","34,320","37,461",76,9.3,9.2,25,MS
Pontotoc,"35,400","38,936","41,866",49,10.0,7.5,45,MS
Prentiss,"32,094","34,953","37,701",75,8.9,7.9,41,MS
Quitman,"31,506","36,525","41,682",52,15.9,14.1,6,MS
Rankin,"45,496","48,595","51,235",3,6.8,5.4,73,MS
Scott,"31,765","32,961","37,792",74,3.8,14.7,4,MS
Sharkey,"36,950","44,102","50,467",5,19.4,14.4,5,MS
Simpson,"38,405","40,004","44,174",32,4.2,10.4,19,MS
Smith,"39,661","40,309","46,337",13,1.6,15.0,3,MS
Stone,"34,653","37,262","39,547",65,7.5,6.1,66,MS
Sunflower,"29,664","33,938","37,950",72,14.4,11.8,12,MS
Tallahatchie,"31,982","36,529","41,558",54,14.2,13.8,7,MS
Tate,"38,141","41,180","44,749",22,8.0,8.7,31,MS
Tippah,"38,433","42,300","44,301",30,10.1,4.7,78,MS
Tishomingo,"35,811","38,796","41,457",55,8.3,6.9,56,MS
Tunica,"33,864","39,893","41,904",48,17.8,5.0,75,MS
Union,"35,412","38,697","41,155",59,9.3,6.4,63,MS
Walthall,"33,551","35,664","39,169",67,6.3,9.8,22,MS
Warren,"41,184","44,905","48,214",7,9.0,7.4,48,MS
Washington,"36,815","41,701","45,319",17,13.3,8.7,30,MS
Wayne,"37,296","38,401","43,439",37,3.0,13.1,9,MS
Webster,"39,308","42,236","44,543",26,7.4,5.5,72,MS
Wilkinson,"30,188","34,316","36,890",77,13.7,7.5,46,MS
Winston,"37,305","39,796","43,238",38,6.7,8.6,32,MS
Yalobusha,"36,651","39,591","41,761",51,8.0,5.5,71,MS
Yazoo,"28,399","34,042","36,515",78,19.9,7.3,49,MS
,,,,,,,,
Missouri,"49,001","52,108","55,325",--,6.3,6.2,--,MO
Adair,"33,223","35,904","37,898",108,8.1,5.6,77,MO
Andrew,"44,650","47,612","50,693",19,6.6,6.5,42,MO
Atchison,"44,786","49,644","54,179",10,10.8,9.1,9,MO
Audrain,"37,613","41,328","44,319",61,9.9,7.2,22,MO
Barry,"36,511","38,718","41,248",88,6.0,6.5,40,MO
Barton,"35,273","40,842","42,329",81,15.8,3.6,108,MO
Bates,"40,670","44,537","46,821",43,9.5,5.1,93,MO
Benton,"38,951","40,715","43,097",73,4.5,5.9,66,MO
Bollinger,"38,100","41,916","44,552",60,10.0,6.3,52,MO
Boone,"49,251","51,723","54,522",9,5.0,5.4,85,MO
Buchanan,"40,780","43,594","46,362",47,6.9,6.3,49,MO
Butler,"36,123","40,610","43,194",71,12.4,6.4,47,MO
Caldwell,"39,967","42,976","45,802",53,7.5,6.6,39,MO
Callaway,"40,115","43,671","46,191",48,8.9,5.8,70,MO
Camden,"42,487","46,149","53,779",12,8.6,16.5,1,MO
Cape Girardeau,"43,856","46,449","48,732",27,5.9,4.9,98,MO
Carroll,"47,192","51,232","54,784",8,8.6,6.9,31,MO
Carter,"38,969","42,787","45,237",56,9.8,5.7,73,MO
Cass,"48,865","51,409","54,020",11,5.2,5.1,95,MO
Cedar,"31,770","34,960","36,748",112,10.0,5.1,94,MO
Chariton,"44,366","48,933","51,590",16,10.3,5.4,82,MO
Christian,"42,877","45,374","48,509",30,5.8,6.9,33,MO
Clark,"36,830","40,770","43,325",70,10.7,6.3,54,MO
Clay,"49,328","52,450","56,118",5,6.3,7.0,29,MO
Clinton,"42,840","46,082","48,730",28,7.6,5.7,71,MO
Cole,"48,294","52,134","54,941",7,8.0,5.4,86,MO
Cooper,"39,949","44,416","47,383",37,11.2,6.7,37,MO
Crawford,"37,178","40,033","43,192",72,7.7,7.9,14,MO
Dade,"35,396","38,902","42,127",82,9.9,8.3,12,MO
Dallas,"34,321","36,355","38,983",101,5.9,7.2,23,MO
Daviess,"33,034","36,377","37,739",109,10.1,3.7,106,MO
DeKalb,"34,261","36,198","38,366",105,5.7,6.0,60,MO
Dent,"35,734","39,091","41,420",86,9.4,6.0,62,MO
Douglas,"32,368","35,738","37,992",107,10.4,6.3,51,MO
Dunklin,"36,417","39,435","43,809",66,8.3,11.1,8,MO
Franklin,"46,380","49,094","51,952",15,5.9,5.8,68,MO
Gasconade,"40,633","43,585","45,866",52,7.3,5.2,90,MO
Gentry,"45,703","49,591","50,953",18,8.5,2.7,112,MO
Greene,"45,900","48,134","51,220",17,4.9,6.4,43,MO
Grundy,"34,882","38,424","40,504",94,10.2,5.4,84,MO
Harrison,"37,241","41,726","43,767",67,12.0,4.9,99,MO
Henry,"41,931","45,715","48,924",25,9.0,7.0,27,MO
Hickory,"33,430","36,800","38,100",106,10.1,3.5,109,MO
Holt,"50,637","56,930","58,888",4,12.4,3.4,110,MO
Howard,"40,891","44,142","46,854",40,8.0,6.1,57,MO
Howell,"35,728","38,446","40,358",95,7.6,5.0,97,MO
Iron,"35,263","38,593","41,182",91,9.4,6.7,36,MO
Jackson,"46,644","49,915","53,112",13,7.0,6.4,44,MO
Jasper,"39,842","41,265","43,859",65,3.6,6.3,53,MO
Jefferson,"44,193","46,665","49,392",23,5.6,5.8,67,MO
Johnson,"37,599","40,141","46,526",46,6.8,15.9,2,MO
Knox,"37,209","41,419","42,987",75,11.3,3.8,105,MO
Laclede,"36,383","39,088","41,266",87,7.4,5.6,76,MO
Lafayette,"42,782","46,053","49,491",22,7.6,7.5,19,MO
Lawrence,"35,094","37,596","39,889",98,7.1,6.1,59,MO
Lewis,"35,602","38,514","41,823",84,8.2,8.6,11,MO
Lincoln,"42,511","45,097","47,686",35,6.1,5.7,72,MO
Linn,"39,614","43,234","45,966",51,9.1,6.3,50,MO
Livingston,"39,106","43,802","46,069",50,12.0,5.2,91,MO
McDonald,"29,020","31,657","35,275",115,9.1,11.4,7,MO
Macon,"41,152","44,838","47,691",34,9.0,6.4,48,MO
Madison,"36,166","39,546","41,068",93,9.3,3.8,104,MO
Maries,"36,105","39,120","41,212",89,8.4,5.3,88,MO
Marion,"41,063","44,348","47,304",38,8.0,6.7,38,MO
Mercer,"32,105","35,568","37,104",111,10.8,4.3,103,MO
Miller,"37,824","41,385","43,510",69,9.4,5.1,92,MO
Mississippi,"31,911","36,534","39,424",99,14.5,7.9,13,MO
Moniteau,"38,417","43,446","46,530",45,13.1,7.1,25,MO
Monroe,"41,106","43,467","47,215",39,5.7,8.6,10,MO
Montgomery,"41,856","46,685","49,923",21,11.5,6.9,30,MO
Morgan,"41,617","44,776","47,637",36,7.6,6.4,46,MO
New Madrid,"37,247","43,079","49,093",24,15.7,14.0,4,MO
Newton,"39,711","42,442","45,190",57,6.9,6.5,41,MO
Nodaway,"33,241","37,241","39,258",100,12.0,5.4,83,MO
Oregon,"37,005","40,775","42,966",76,10.2,5.4,87,MO
Osage,"46,003","49,948","52,701",14,8.6,5.5,79,MO
Ozark,"33,351","36,728","38,401",104,10.1,4.6,102,MO
Pemiscot,"36,126","40,570","46,840",42,12.3,15.5,3,MO
Perry,"42,747","45,738","48,474",31,7.0,6.0,61,MO
Pettis,"37,712","40,827","43,693",68,8.3,7.0,26,MO
Phelps,"39,464","42,213","44,205",62,7.0,4.7,101,MO
Pike,"36,936","40,344","42,546",79,9.2,5.5,80,MO
Platte,"58,704","60,838","63,771",2,3.6,4.8,100,MO
Polk,"36,178","38,301","41,119",92,5.9,7.4,20,MO
Pulaski,"41,300","43,973","44,759",59,6.5,1.8,114,MO
Putnam,"36,103","39,446","41,629",85,9.3,5.5,78,MO
Ralls,"40,326","44,503","47,714",33,10.4,7.2,24,MO
Randolph,"38,661","43,507","46,164",49,12.5,6.1,58,MO
Ray,"42,782","45,644","48,843",26,6.7,7.0,28,MO
Reynolds,"36,189","40,045","43,066",74,10.7,7.5,16,MO
Ripley,"37,947","42,565","45,666",54,12.2,7.3,21,MO
St. Charles,"55,706","58,134","61,752",3,4.4,6.2,55,MO
St. Clair,"31,316","34,466","36,671",113,10.1,6.4,45,MO
Ste. Genevieve,"41,160","44,215","46,578",44,7.4,5.3,89,MO
St. Francois,"35,222","37,971","40,227",96,7.8,5.9,63,MO
St. Louis,"73,575","77,419","81,829",1,5.2,5.7,74,MO
Saline,"37,351","41,697","44,067",64,11.6,5.7,75,MO
Schuyler,"32,969","37,161","38,544",102,12.7,3.7,107,MO
Scotland,"35,776","41,903","45,092",58,17.1,7.6,15,MO
Scott,"41,226","44,714","47,750",32,8.5,6.8,34,MO
Shannon,"34,946","38,917","41,200",90,11.4,5.9,65,MO
Shelby,"38,989","43,499","48,578",29,11.6,11.7,5,MO
Stoddard,"37,698","40,868","45,554",55,8.4,11.5,6,MO
Stone,"41,537","44,432","46,852",41,7.0,5.4,81,MO
Sullivan,"38,969","44,289","44,139",63,13.7,-0.3,115,MO
Taney,"37,777","40,130","42,600",78,6.2,6.2,56,MO
Texas,"30,579","34,186","35,346",114,11.8,3.4,111,MO
Vernon,"36,058","40,312","42,332",80,11.8,5.0,96,MO
Warren,"44,910","47,227","50,001",20,5.2,5.9,64,MO
Washington,"31,927","34,830","37,238",110,9.1,6.9,32,MO
Wayne,"35,865","39,972","42,678",77,11.5,6.8,35,MO
Webster,"34,607","37,195","39,976",97,7.5,7.5,18,MO
Worth,"37,715","40,892","41,952",83,8.4,2.6,113,MO
Wright,"33,209","36,432","38,544",102,9.7,5.8,69,MO
St. Louis City,"48,808","52,085","55,984",6,6.7,7.5,17,MO
,,,,,,,,
Montana,"50,289","54,106","56,949",--,7.6,5.3,--,MT
Beaverhead,"48,960","53,114","54,430",19,8.5,2.5,31,MT
Big Horn,"31,525","35,760","36,517",54,13.4,2.1,34,MT
Blaine,"28,752","32,137","34,095",55,11.8,6.1,11,MT
Broadwater,"43,874","46,978","47,541",36,7.1,1.2,39,MT
Carbon,"55,564","58,553","59,715",6,5.4,2.0,37,MT
Carter,"35,331","41,071","39,354",51,16.2,-4.2,46,MT
Cascade,"47,303","50,576","53,765",20,6.9,6.3,9,MT
Chouteau,"39,136","44,873","39,287",52,14.7,-12.4,55,MT
Custer,"45,133","48,672","50,535",27,7.8,3.8,21,MT
Daniels,"48,764","59,209","57,661",11,21.4,-2.6,45,MT
Dawson,"44,820","47,514","47,459",37,6.0,-0.1,41,MT
Deer Lodge,"40,093","44,356","46,384",42,10.6,4.6,16,MT
Fallon,"45,775","48,531","49,165",32,6.0,1.3,38,MT
Fergus,"44,026","45,728","46,685",40,3.9,2.1,35,MT
Flathead,"51,462","55,764","58,964",9,8.4,5.7,13,MT
Gallatin,"60,242","65,225","70,276",2,8.3,7.7,3,MT
Garfield,"35,023","41,816","37,365",53,19.4,-10.6,53,MT
Glacier,"37,046","41,271","41,159",49,11.4,-0.3,42,MT
Golden Valley,"49,935","53,351","53,046",22,6.8,-0.6,43,MT
Granite,"46,221","49,622","51,995",24,7.4,4.8,15,MT
Hill,"45,861","49,714","51,060",25,8.4,2.7,30,MT
Jefferson,"51,121","54,195","56,632",14,6.0,4.5,17,MT
Judith Basin,"48,136","52,026","48,352",35,8.1,-7.1,50,MT
Lake,"40,510","44,565","46,387",41,10.0,4.1,20,MT
Lewis and Clark,"50,533","54,364","56,791",13,7.6,4.5,18,MT
Liberty,"55,944","60,873","57,219",12,8.8,-6.0,47,MT
Lincoln,"38,977","42,915","43,782",46,10.1,2.0,36,MT
