"Table 1. Per Capita Personal Income, by County, 2019–2021",,,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,,
,Dollars,,,Rank in state,Percent change,,Rank in state,
Plumas,"50,296","54,185","57,193",30,7.7,5.6,39,CA
Riverside,"43,295","47,702","51,180",42,10.2,7.3,16,CA
Sacramento,"53,005","57,991","61,829",26,9.4,6.6,23,CA
San Benito,"54,370","61,564","68,868",19,13.2,11.9,6,CA
San Bernardino,"41,253","45,499","49,493",45,10.3,8.8,13,CA
San Diego,"62,533","67,830","72,637",17,8.5,7.1,17,CA
San Francisco,"130,464","141,134","160,749",2,8.2,13.9,1,CA
San Joaquin,"45,547","51,766","57,783",28,13.7,11.6,8,CA
San Luis Obispo,"59,806","63,652","66,617",20,6.4,4.7,46,CA
San Mateo,"131,180","142,264","160,485",3,8.4,12.8,3,CA
Santa Barbara,"63,586","69,457","73,995",14,9.2,6.5,26,CA
Santa Clara,"113,693","122,785","138,724",4,8.0,13.0,2,CA
Santa Cruz,"70,129","77,181","85,554",8,10.1,10.8,9,CA
Shasta,"46,113","51,514","54,972",32,11.7,6.7,21,CA
Sierra,"41,365","44,542","47,135",50,7.7,5.8,35,CA
Siskiyou,"43,951","49,420","52,368",38,12.4,6.0,30,CA
Solano,"51,819","58,406","65,448",21,12.7,12.1,5,CA
Sonoma,"66,715","73,526","81,006",10,10.2,10.2,11,CA
Stanislaus,"43,729","49,128","52,356",39,12.3,6.6,25,CA
Sutter,"44,212","49,710","53,017",37,12.4,6.7,22,CA
Tehama,"40,437","45,064","48,042",47,11.4,6.6,24,CA
Trinity,"32,079","34,293","36,906",58,6.9,7.6,15,CA
Tulare,"40,061","45,556","47,986",48,13.7,5.3,41,CA
Tuolumne,"46,104","49,622","52,306",40,7.6,5.4,40,CA
Ventura,"63,833","68,647","73,375",15,7.5,6.9,20,CA
Yolo,"55,724","60,918","64,468",22,9.3,5.8,34,CA
Yuba,"41,443","45,806","48,984",46,10.5,6.9,19,CA
,,,,,,,,
Colorado,"62,124","65,358","70,706",--,5.2,8.2,--,CO
Adams,"45,266","48,606","53,183",34,7.4,9.4,20,CO
Alamosa,"38,025","41,152","44,507",56,8.2,8.2,33,CO
Arapahoe,"65,322","68,630","74,267",14,5.1,8.2,31,CO
Archuleta,"46,973","50,527","52,312",36,7.6,3.5,62,CO
Baca,"39,990","46,142","52,905",35,15.4,14.7,7,CO
Bent,"27,231","29,796","32,716",63,9.4,9.8,19,CO
Boulder,"79,698","83,173","89,593",6,4.4,7.7,41,CO
Broomfield,"67,287","66,999","73,678",15,-0.4,10.0,16,CO
Chaffee,"53,607","56,878","60,550",25,6.1,6.5,53,CO
Cheyenne,"54,006","47,755","76,057",11,-11.6,59.3,1,CO
Clear Creek,"66,439","70,828","77,242",9,6.6,9.1,23,CO
Conejos,"38,179","41,346","45,961",54,8.3,11.2,12,CO
Costilla,"37,326","39,705","43,239",58,6.4,8.9,24,CO
Crowley,"19,286","21,480","24,314",64,11.4,13.2,11,CO
Custer,"46,705","49,704","51,271",41,6.4,3.2,64,CO
Delta,"38,727","43,409","46,042",53,12.1,6.1,56,CO
Denver,"86,539","89,736","99,133",3,3.7,10.5,13,CO
Dolores,"35,024","36,479","39,481",61,4.2,8.2,30,CO
Douglas,"77,986","81,637","87,841",7,4.7,7.6,44,CO
Eagle,"84,648","91,432","97,255",5,8.0,6.4,55,CO
Elbert,"63,234","65,896","70,961",16,4.2,7.7,42,CO
El Paso,"51,015","54,712","58,627",27,7.2,7.2,45,CO
Fremont,"35,147","38,325","41,017",60,9.0,7.0,46,CO
Garfield,"59,183","62,296","67,123",18,5.3,7.7,40,CO
Gilpin,"53,743","59,027","63,971",21,9.8,8.4,28,CO
Grand,"54,819","58,265","62,267",23,6.3,6.9,48,CO
Gunnison,"51,935","56,168","59,514",26,8.2,6.0,59,CO
Hinsdale,"50,952","52,257","56,524",32,2.6,8.2,32,CO
Huerfano,"41,653","45,781","48,801",48,9.9,6.6,51,CO
Jackson,"54,569","58,270","62,823",22,6.8,7.8,39,CO
Jefferson,"66,571","69,118","74,822",13,3.8,8.3,29,CO
